ds,yhat
1980-01-31,15181.006767807647
1980-02-29,16770.899672171738
1980-03-31,16082.768023486893
1980-04-30,14486.951073347085
1980-05-31,14374.254770460637
1980-06-30,15749.54364009591
1980-07-31,16343.9350667563
1980-08-31,16943.341182571326
1980-09-30,17137.305395158066
1980-10-31,17928.5778157049
1980-11-30,18715.749025662637
1980-12-31,19971.075150091754
1981-01-31,19358.931344639735
1981-02-28,21263.032041068567
1981-03-31,20605.812324097114
1981-04-30,19233.53747294928
1981-05-31,18983.830297899458
1981-06-30,20434.510024324296
1981-07-31,20955.965208800706
1981-08-31,21580.56259760981
1981-09-30,21778.574149742115
1981-10-31,22466.585952675265
1981-11-30,23305.692351371737
1981-12-31,24679.722026548116
1982-01-31,24147.275456274114
1982-02-28,25751.497338641715
1982-03-31,25131.387191705795
1982-04-30,23982.390495026593
1982-05-31,23593.727124103003
1982-06-30,25118.98427100626
1982-07-31,25567.00576029593
1982-08-31,26217.266085935196
1982-09-30,26418.523525817065
1982-10-31,27004.502146690564
1982-11-30,27898.80000407583
1982-12-31,29390.69369019172
1983-01-31,28933.441844939447
1983-02-28,30236.466359900136
1983-03-31,29659.650011014848
1983-04-30,28733.4227363369
1983-05-31,28203.91899388852
1983-06-30,29802.89890262055
1983-07-31,30177.057456784973
1983-08-31,30853.448178191462
1983-09-30,31057.174592715193
1983-10-31,31542.442861146446
1983-11-30,32495.101643004466
1983-12-31,34103.858587001254
1984-01-31,33717.24146992746
1984-02-29,35307.13437270061
1984-03-31,34619.00272231466
1984-04-30,33023.18577052908
1984-05-31,32756.55551395324
1984-06-30,33982.87604130808
1984-07-31,34423.333514278966
1984-08-31,34868.80567640468
1984-09-30,34913.801546711205
1984-10-31,35551.140013568816
1984-11-30,36189.34288124629
1984-12-31,37290.735051985874
1985-01-31,36524.65729284464
1985-02-28,38289.72086981183
1985-03-31,37478.56719915095
1985-04-30,35957.32400572281
1985-05-31,35553.68287698354
1985-06-30,36855.39426112795
1985-07-31,37222.91548831319
1985-08-31,37693.57891983067
1985-09-30,37742.62212619668
1985-10-31,38128.51489551762
1985-11-30,38675.24803587928
1985-12-31,39747.158677443666
1986-01-31,38912.59307355671
1986-02-28,40243.93324814625
1986-03-31,39321.704067597486
1986-04-30,37880.334112583856
1986-05-31,37189.55170804777
1986-06-30,38422.43559661681
1986-07-31,38568.338052294195
1986-08-31,38916.47934432104
1986-09-30,38825.36352586832
1986-10-31,39109.223113129454
1986-11-30,39711.14771218036
1986-12-31,40900.922369986794
1987-01-31,40141.551496425156
1987-02-28,41143.78476684179
1987-03-31,40233.949540069036
1987-04-30,38985.445931951464
1987-05-31,38122.92331161522
1987-06-30,39399.626886907245
1987-07-31,39440.76656318407
1987-08-31,39784.13840670303
1987-09-30,39665.588487786874
1987-10-31,39817.83787833028
1987-11-30,40448.22032674871
1987-12-31,41723.95839285736
1988-01-31,41004.32239789638
1988-02-29,42282.68151167711
1988-03-31,41261.5309834041
1988-04-30,39343.43769817871
1988-05-31,38897.72251570343
1988-06-30,39950.73505025305
1988-07-31,40212.094975920125
1988-08-31,40478.46959074233
1988-09-30,40350.14525398057
1988-10-31,40808.386173534534
1988-11-30,41273.26883414424
1988-12-31,42195.563457580414
1989-01-31,41250.38815113516
1989-02-28,42853.68620150538
1989-03-31,41863.434983541105
1989-04-30,40168.87158304546
1989-05-31,39586.13290700211
1989-06-30,40714.52408407888
1989-07-31,40902.94776396025
1989-08-31,41194.51364817394
1989-09-30,41070.23664747212
1989-10-31,41425.21694581015
1989-11-30,41942.03479167229
1989-12-31,42983.03290181079
1990-01-31,42117.55476649889
1990-02-28,43420.9739449616
1990-03-31,42467.83223298685
1990-04-30,40996.54692498104
